loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_f1_spam,eval_auc_roc,eval_avg_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.28180111694335935,2.513153553009033,1.9570532904420808e-05,3.6330608537693005,16000,,,,,,,,,,,,,
0.28198968505859373,1.9994224309921265,1.8087268173198212e-05,3.7465940054495914,16500,,,,,,,,,,,,,
0.28221600341796876,2.985280752182007,1.661456006748842e-05,3.860127157129882,17000,,,,,,,,,,,,,
0.28052276611328125,2.322570323944092,1.5160536662405696e-05,3.9736603088101727,17500,,,,,,,,,,,,,
,,,4.0,17616,0.3620465099811554,0.5998556022583832,0.27761767531219983,0.7588707049920249,0.33520273826769476,203.8721,262.262,1.369,,,,,
0.24020046997070313,2.5096638202667236,1.3733222909675741e-05,4.087193460490464,18000,,,,,,,,,,,,,
0.22494125366210938,3.0482864379882812,1.2340496346842374e-05,4.200726612170754,18500,,,,,,,,,,,,,
0.2267212829589844,4.0298357009887695,1.0990043620072897e-05,4.3142597638510445,19000,,,,,,,,,,,,,
0.22543551635742187,3.502401828765869,9.689318060518844e-06,4.427792915531335,19500,,,,,,,,,,,,,
0.22243022155761719,3.920497179031372,8.445498548373875e-06,4.541326067211626,20000,,,,,,,,,,,,,
0.22417570495605468,5.102750301361084,7.265449891663456e-06,4.654859218891916,20500,,,,,,,,,,,,,
0.22444325256347655,3.4167752265930176,6.155684938441488e-06,4.768392370572207,21000,,,,,,,,,,,,,
0.22325886535644532,4.588013648986816,5.122328631501441e-06,4.881925522252498,21500,,,,,,,,,,,,,
0.22573500061035157,5.090214729309082,4.171084203989111e-06,4.995458673932788,22000,,,,,,,,,,,,,
,,,5.0,22020,0.41697201132774353,0.6010816972472793,0.2841808423542254,0.7442488769151496,0.31491283234118483,203.8751,262.259,1.368,,,,,
0.18564686584472656,4.203453540802002,3.30720170248799e-06,5.108991825613079,22500,,,,,,,,,,,,,
0.18549821472167968,3.4271090030670166,2.535449011302398e-06,5.22252497729337,23000,,,,,,,,,,,,,
0.17902705383300782,3.194549798965454,1.8600855378595683e-06,5.336058128973661,23500,,,,,,,,,,,,,
0.1848602294921875,4.621127128601074,1.2848387044642085e-06,5.449591280653951,24000,,,,,,,,,,,,,
0.1853118438720703,5.464681148529053,8.128833761509769e-07,5.5631244323342415,24500,,,,,,,,,,,,,
0.18734506225585937,5.845373153686523,4.4682433817516693e-07,5.676657584014532,25000,,,,,,,,,,,,,
